ID,ApoB,HDL,VLDL,LDL,Col_total,trigliceridos,PCRu,glucosa,Hb1Ac,leptina,adiponectina,insulina,PA_sistolica,PA_diastolica
Calorias,0.0503256466,-0.1587296805,0.0594840772,0.0279291965,-0.0072799151,0.0609241765,-0.0782105898,-0.000524721,-0.0014617324,-0.2802615407,-0.1814740278,0.0845132841,0.0405684695,0.0231328455
ProtTotal,0.0193816561,-0.117262302,0.0203734072,0.004467626,-0.0283840596,0.0239109428,-0.0171975963,0.0212873945,0.0662851089,-0.2564556803,-0.1524806062,0.0561998419,0.0766739095,0.0582262728
GT,0.008851412,-0.1186292142,0.0206416542,-0.015195585,-0.0494024279,0.0236509985,-0.0243172091,0.0485128002,0.0336059626,-0.1911859433,-0.1322238619,0.1028014101,-0.0272062281,-0.0259545451
GS,0.0212063282,-0.0950233393,0.0110619927,-0.0132461031,-0.0398522072,0.0155524094,-0.0034107687,0.0335492621,0.0245634125,-0.1532894906,-0.1396751057,0.1179809748,0.0014810125,-0.0139569395
GM,0.0056220608,-0.1132472733,0.0429884028,-0.0075289088,-0.0297392664,0.0478317072,-0.0307944458,0.0598546235,0.0581801167,-0.1911882402,-0.1497396279,0.1194293846,-0.0357756498,-0.0321247296
GP,0.0052580688,-0.1466738135,0.0498931997,-0.0547333308,-0.0807753326,0.0466407638,-0.0317935519,0.0600576678,0.0359988238,-0.175279382,-0.1505670307,0.0998915131,-0.0256494638,-0.018213606
COLESTEROL,0.0204364982,-0.1242896286,0.034959113,-0.0068622493,-0.0301312152,0.04589691,-0.0169555159,0.0235909477,0.025455238,-0.1782219172,-0.1100914637,0.0688068369,0.0033425118,0.0211855071
CHOtotal,0.0754569147,-0.1570851824,0.0881495465,0.0571168924,0.0333073577,0.0872465484,-0.1083480176,-0.0380802921,-0.0438156757,-0.2727096185,-0.1850812681,0.063256125,0.0590450223,0.0379013913
CHOcom,0.0597445895,-0.1503551855,0.0697820931,0.0469931141,0.0120797497,0.0613251552,-0.1179798731,-0.0279981222,-0.0160945164,-0.2774237112,-0.1339431499,0.0264498031,0.0374810075,0.0347577859
FD,-0.0233344934,-0.1446398915,0.0490673211,-0.004065681,-0.0463364238,0.0407214775,-0.069625453,0.0016428696,0.0411027859,-0.2394969003,-0.0686383246,-0.0758828316,0.0569337788,0.0304841574
Ca,0.0441090979,0.0408174824,-0.0209551858,0.0744439453,0.067124374,-0.0181565928,0.0151200125,0.015818522,0.0534083925,-0.0731299047,-0.0015716205,0.0025738322,0.023944657,-0.0403661509
P,0.0424447964,-0.0847222536,0.0315208812,0.0210658049,-0.0005920269,0.0362523721,-0.017723137,0.046950212,0.0893473634,-0.2193083957,-0.1039933674,0.024346676,0.069992105,0.0131612587
FeTotal,-0.0019977324,-0.1046888754,0.0695448715,0.0650751202,0.0372470259,0.0719198971,-0.0776296254,0.0043183011,0.0552220081,-0.2651904518,-0.1314122033,0.0393756437,0.0361064416,-0.005708616
Na,0.0149367578,-0.0721966321,-0.0035293279,-0.0128084474,-0.0406348447,0.0008302196,-0.0159832056,0.0298814617,0.03417222,-0.0599698634,-0.1501791536,0.158112726,0.0021977469,-0.016786036
K,0.0539008836,-0.0746241051,0.0236407241,0.0499527237,0.0259684439,0.0246036538,-0.09207974,0.0200367927,0.0376477695,-0.3078247248,-0.1075778247,0.0092045139,0.1137237826,0.0786211059
Mg,0.0481324581,-0.1355338255,0.0723355772,0.0504511103,0.0199428658,0.0697572175,-0.0791970405,-0.000473699,0.0599148508,-0.2949661044,-0.0821010925,0.0207878204,0.0630288783,0.033638033
Zn,-0.0196568651,-0.1062429872,0.0286104675,-0.0076629886,-0.0452053422,0.0361570256,-0.0125663961,0.0410679774,0.1072556377,-0.2282713396,-0.0941740014,0.0227338106,0.0519952583,0.0369709691
Cu,0.0059679285,-0.1268129071,0.0416393658,0.046311763,-0.0076614824,0.0387853162,0.0223761066,0.0147852331,0.0522975779,-0.2196878417,-0.0823203062,0.0331340488,0.0714039746,0.0507795034
Mn,0.0128870976,-0.1345855643,0.0876118445,0.0117847938,-0.0065027165,0.0795838599,-0.1175482344,0.0121805938,0.0081406374,-0.2303417963,-0.1225580506,-0.0054552734,0.0494116233,0.0306836834
VitA.ER.,0.0092079898,0.00053594,0.0142059393,0.0316361103,0.0404472303,0.0152743561,-0.0162680627,-0.0090281842,-0.0015058572,-0.1569643017,-0.0338322399,-0.0336587567,0.0109493943,-0.020679352
B1,-0.0275952843,0.0070634658,-0.0310141018,0.0059645599,-0.0123701298,-0.0317075003,-0.0834512773,-0.014414189,-0.0020445271,-0.1918775677,-0.0860452393,-0.0017250038,0.013467412,-0.0088591701
B2,0.0380177362,-0.0260650372,-0.0120001563,0.015835825,-0.0061456871,-0.0107678596,-0.0336245157,0.0129017901,0.0433031283,-0.1725991837,-0.0917573432,0.0482459227,0.0215851447,-0.0094132035
B3,0.0128225093,-0.0816218206,0.0194257709,0.0372352103,0.0026303091,0.0225652151,-0.0692547399,0.0035458585,0.0249811147,-0.2213338105,-0.1294136683,0.046213536,0.0865315044,0.0537016396
AcPantoenico,0.0663046642,-0.077887552,0.02562819,0.0782888084,0.0467566342,0.0286264619,-0.0838509712,0.0008814229,0.0115669428,-0.2673874888,-0.1450419132,0.0185522472,0.0715177126,0.0479769246
B6,-0.015834887,0.0335289633,-0.0467932484,0.0025442137,-0.0004161722,-0.0463327717,-0.0586164072,-0.0331031403,-0.0376510873,-0.0643335555,-0.0651114654,-0.0615982857,0.0091962408,0.0073905959
Folico,-0.0413538613,-0.1009554539,0.0442534894,-0.0208520546,-0.0500833993,0.0372115995,-0.0998040646,-0.0331416916,0.0142747658,-0.2138616793,-0.0528557964,-0.0101760688,-0.0133870063,-0.0496950784
B12,0.0183947435,-0.0519534351,-0.0358599831,0.0400146412,-0.0007035432,-0.0170106335,-0.0134026325,0.0618998603,0.0681805242,-0.1492490791,-0.1362019914,0.0737307827,-0.0033889536,-0.0077938696
AcAscorbico,-0.0602523795,0.023372138,-0.0174763757,-0.0069203063,0.0047457538,-0.018028408,-0.068982129,-0.0245770696,0.0051967522,-0.1598879833,-0.0243209279,-0.0307667255,0.0895785601,0.0740770898
